英文名稱,中文名稱,生歿年,國籍,專長
"Alonso-Crespo, Eduardo",阿隆索－克雷斯波,1956-,阿根廷,作曲
"Alpaerts, Flor",阿培爾茲,1876-1954,比利時,作曲
"Alsted, Birgitte",阿斯泰德,1942-,丹麥,作曲
"Alsuyet, Claudio",阿蘇葉特,1957-,阿根廷,作曲
"Alt, Bernhard",阿特,1903-1945,比利時,作曲
"Altenburg, Johann Ernst",阿騰堡,1734-1801,德國,小號
"Althouse, Paul",阿特豪士,1889-1954,美國,聲樂
Altusi,阿突西,1540-1613,義大利,理論；作曲
"Alvarez, Albert Gourron","阿法雷,阿貝特",1861-1933,法國,聲樂
"Alvarez, Marguerite d'","阿法雷茲,瑪格麗特",1886-1953,英國,聲樂
"Alvary, Max",阿法瑞,1856-1898,德國,聲樂
"Alwyn, William",阿爾文,1905-1985,英國,作曲
"Amati, Nicolo",阿瑪悌,1596-1684,義大利,樂器製造家
"Ambrose, Saint",安布羅士,339-397,義大利,作曲
"Ameling, Elly",阿梅琳,1938-,荷蘭,聲樂
"Amendola, Ugo",阿門多拉,1917-1995,義大利,作曲
"Amirov, Fikret",阿米羅夫,1922-1984,亞塞拜然,作曲
"Ammann, Dieter",阿曼,1962-,瑞士,作曲
"Amon, Blasius",阿蒙,1560-1590,奧地利,作曲
"Amoyal, Pierre",阿莫亞,1949-,法國,小提琴
"Amram, David",阿姆藍,1930-,美國,作曲
"Amrod, Paul",阿姆洛德,1951-,美國,作曲
"Amy, Gilbert",阿密,1936-,法國,作曲；指揮
"An?erl, Karel",安謝爾,1908-1973,捷克,指揮
"Anda, Geza",安達,1921-1976,瑞士,鋼琴；指揮
"Anderson, George Frederick","安德森,喬治",1793-1876,英國,小提琴
"Anderson, Leroy","安德森,雷洛",1908-1975,美國,作曲
"Anderson, Lucy","安德森,露西",1797-1878,英國,鋼琴
"Anderson, Marian","安德森,瑪利安",1902-1993,美國,聲樂家
"Anderson, Ronald Kinloch","安德森,羅納德",1911-1984,英國,鋼琴
"Andrade, M?rio de",安德拉德,1893-1945,巴西,音樂學
"Andr?, Franz","安德雷,弗朗茲",1893-1975,比利時,指揮
"Andr?, Johann","安德雷,約翰",1741-1799,德國,作曲
"Andr?, Maurice","安德萊,摩利斯",1933-2012,法國,小號
"Andreae, Volkmar",安德列,1879-1962,瑞士,作曲；指揮
"Andr?e, Elfrida","安德列,艾符莉達",1841-1929,瑞典,作曲；管風琴
"Andreozzi, Gaetano",安德列歐奇,1775-1826,義大利,作曲
"Andrews, Herbert","安德魯斯,赫伯特",1904-1965,愛爾蘭,管風琴；作曲
"Andrews, Hilda","安德魯斯,希達",1900-1984,英國,音樂學
"Andriessen, Hendrik","安德里森,亨得利",1892-1981,荷蘭,作曲；管風琴
"Andriessen, Jurriaan","安德里森,尤瑞安",1925- 1996,荷蘭,作曲
"Andriessen, Louis","安德里森,路易斯",1939-,荷蘭,作曲
"Andriessen, Willem","安德里森,威廉",1887-1964,荷蘭,鋼琴；作曲；指揮
"Anerio, Felice","安內里歐,費利切",1560-1614,義大利,作曲
"Anerio, Giovanni Francesco","安內里歐,喬望尼",1567-1630,義大利,作曲
"Anfossi, Pasquale",安佛西,1727-1797,義大利,作曲
"Angelis, Nazzareno de????",安杰利斯,1881-1962,義大利,聲樂
"Angelo, Gioacchino",安杰洛,1899-1971,義大利,作曲
"Angerer, Paul",安格勒,1927-,奧地利,指揮；作曲
"Anhalt, Istv?n",安赫特,1919-,匈牙利,作曲
"Anievas, Agustin",安尼瓦斯,1934-,美國,鋼琴
"Animuccia, Giovanni",安尼慕契亞,1500-1571,義大利,作曲
"Ank, Matthias????",安克,1959-,德國,管風琴；指揮
"Ansell, John",安色爾,1874-1948,英國,指揮；作曲
"Ansermet, Ernest",安瑟美,1883-1969,瑞士,指揮
"Anson, Hugo",安森,1894-1958,紐西蘭,作曲
