英文名稱,中文名稱,生歿年,國籍,專長
"Konwitschny, Franz",孔維奇尼,1901-1962,德國,指揮
"Kopeck?, Pavel",柯貝茨基,1949-,捷克,作曲
"Korbay, Francis",柯爾貝,1846-1913,匈牙利,鋼琴；作曲
"Korchinska, Maria",柯欽絲卡,1895-1979,俄國,豎琴
"Korchmaryov, Klimenty",柯其瑪遼夫,1899-1958,俄國,作曲
"Koreh, Endre",柯瑞,1906-1960,匈牙利,聲樂
"Korn, Peter Jona",柯恩,1922-,德國,作曲；指揮
"Korndorf, Nicolai S.",康朵夫,1947-2001,俄國,作曲
"Korngold, Erich Wolfgang",柯恩哥德,1897-1957,美國,作曲；指揮
"Koschat, Thomas",柯夏特,1845-1914,奧地利,聲樂
"Kosiewski, Andyzej",柯西夫斯基,1922-,波蘭,作曲；音樂學
"Ko?ler, Zdenek",柯希勒,1928-1995,捷克,指揮
"Kostelanetz, Andre",柯斯特拉內次,1901-1980,美國,指揮
"Kosuge, Yu",小菅優,1983-,日本,鋼琴
"Kosugi, Takehisa",小杉武久,1938-,日本,作曲
"Kotzwara, (Koczwara) Franz",柯茲瓦拉,1730-1790,捷克,小提琴；低音提琴；作曲
"Koussevitzky, Sergei",庫謝維茲基,1874-1951,美國,指揮
"Koval, Marian",柯娃爾,1907-1971,俄國,作曲
"Koven, Reginald de",柯文,1859-1920,美國,作曲
"Kowssler, Hans",寇斯勒,1853-1926,德國,作曲
"Kox, Hans",寇克斯,1930-,荷蘭,作曲
"Koyama, Kiyoshige",小山清茂,1914-,日本,作曲
"Kozeluh, Jan Evangelista Antonin","柯策魯,安東尼",1738-1814,捷克,作曲
"Kozeluh, Leopold","柯策魯,雷歐波德",1747-1818,捷克,作曲
"Kozhevnikov, Boris Tikhonovich",柯傑夫尼科夫,1906-1985,俄國,作曲
"Kraft, Anton","克拉夫特,安東",1749-1820,奧地利,大提琴；作曲
"Kraft, Nicolaus","克拉夫特,尼克勞斯",1778-1853,匈牙利,大提琴；作曲
"Kraft, William","克拉夫特,威廉",1923-,美國,作曲；指揮
"Kramer, Arthur Walter","克拉莫,亞圖華爾特",1890-1969,美國,樂評；作曲
"Kramer, Robert","克拉莫,羅伯特",1954-,美國,作曲
"Kr?sa, Hans",克拉薩,1899-1944,捷克,作曲
"Krasner, Louis",克拉斯納,1903-1995,美國,小提琴
"Kraus, Joseph Martin","克勞斯,約瑟夫",1756-1792,德國,作曲；指揮
"Kraus, Lili","克勞斯,莉莉",1905-1986,匈牙利,鋼琴
"Kraus, Otakar","克勞斯,歐塔卡",1909-1980,英國,聲樂
"Krauss, Clemens","克勞斯,克雷門斯",1893-1954,奧地利,指揮
"Krebs, Johann Ludwig","克瑞伯斯,約翰",1713-1780,德國,管風琴；作曲
"Krebs, Marie","克瑞伯斯,瑪莉",1851-1900,德國,鋼琴
"Krehbiel, Henry",克雷比爾,1854-1923,美國,樂評；著作
"Krein, Alexander","克萊恩,亞力山大",1883-1951,俄國,作曲
"Krein, Grigory","克萊恩,格利果利",1880-1955,俄國,作曲
"Krein, Julian","克萊恩,尤利安",1913-1996,俄國,作曲
"Kreisler, Fritz",克萊斯勒,1875-1962,奧地利,小提琴；作曲
"Krej??, Isa",克瑞伊奇,1904-1968,捷克,作曲；指揮
"Krek, Uro?",克雷克,1922-,斯洛維尼亞,作曲
"Krenek, Ernst",克雷內克,1900-1992,美國,作曲
"Krenz, Jan",克連茲,1926-,波蘭,指揮；作曲
"Kreutzer, Conradin","克羅采,孔拉丁",1780-1849,德國,作曲
"Kreutzer, Rodolphe","克羅采,羅道夫",1766-1831,法國,小提琴；作曲
"Krieger, Adam","克利格,亞當",1634-1666,德國,作曲
"Krieger, Johann","克利格,約翰",1651-1735,德國,作曲；管風琴
"Krieger, Johann Philipp","克利格,菲利普",1649-1725,德國,作曲；管風琴
"Krips, Henry","克利普斯,亨利",1912-1987,澳大利亞,指揮
"Krips, Josef","克利普斯,約瑟夫",1902-1974,奧地利,指揮
"Kr?ll, Georg",柯羅爾,1934-,德國,作曲
"Krombholc, Jaroslav",克隆侯茨,1918-1983,捷克,指揮
"Krombholc, Jaroslav",克隆侯克,1918-1983,捷克,指揮
"Krommer, Franz",克隆莫,1759-1831,捷克,作曲；小提琴
"Krueger, Karl",克呂格,1894-1979,美國,指揮
"Kruisbrink, Annette",克呂斯布林克,1958-,荷蘭,作曲
"Krumpholtz, Jean-Baptiste","克隆弗茲,詹",1742-1790,捷克,豎琴；作曲
"Krumpholtz, Wenzel","克倫霍爾茲,溫則爾",ca.1750--1817,奧地利,小提琴；作曲
"Krumpholz, Johann Baptist","克倫霍爾茲,約翰",1745-1790,法國,作曲；豎琴
"Kruse, Bj?rn","克魯則,比約恩",1946-,英國,作曲
"Kruse, Johann","克魯則,約翰",1859-1927,澳大利亞,小提琴
"Krygell, Johan Adam",克里傑爾,1835-1915,丹麥,作曲
"Kryzhanovsky, Ivan Ivanovich",克利札諾夫斯基,1867-1924,俄國,作曲
"Kubelik, Jan","庫貝利克,楊",1880-1940,捷克,小提琴；作曲
"Kubelik, Rafael","庫貝利克,拉斐爾",1914-1996,捷克,指揮；作曲
"Kubik, Gail",庫比克,1914-1987,美國,作曲
"Kubo, Yoshikazu",久保義一,1954-,日本,小號
"Kucij, Timothy",庫奇,1954-,美國,作曲
"Kuehn, Mikel",庫恩,1967-,美國,作曲
"Kuhlau, Friedrich Daniel Rudolf",庫勞,1786-1832,德國,作曲
"Kuhnau, Johann",庫瑙,1660-1722,德國,作曲
"Kulenkampff, Georg",庫倫康普夫,1898-1984,德國,小提琴
"Kulenty, Hanna",庫倫蒂,1961-,波蘭,作曲
"Kuljuntausta, Petri",庫雍陶斯塔,1961-,芬蘭,作曲
"Kullak, Theodor",庫拉克,1818-1882,德國,鋼琴
"Kullman, Charles",庫爾曼,1903-1983,美國,聲樂
"Kummer, Friedrich August",庫莫,1797-1879,德國,作曲
"Kumok, Jorge","庫莫克,霍爾黑",1931-,阿根廷,作曲
"Kumok, Josef","庫莫克,約瑟夫",18??-19??,波希米亞,作曲
"Kunst, Jos",昆斯特,1936-1996,荷蘭,作曲
"Kunz, Erich",昆茲,1909-1995,奧地利,聲樂
"Kupferman, Meyer",庫普菲曼,1926-2003,美國,作曲
"Kuramoto, Takahiro",倉本高弘,1960-,日本,作曲
"Kurka, Robert",寇卡,1921-1957,美國,作曲
"Kurt?g, Gy?rgy",庫塔格,1926-,匈牙利,作曲
"Kurtz, Efrem",寇茨,1900-1995,美國,指揮
"Kurz, Ivan","庫爾茲,伊凡",1947-,捷克,作曲
"Kurz, Selma","庫爾茲,塞爾瑪",1874-1933,奧地利,聲樂
"Kusser, Johann Sigismund",庫賽爾,1660-1727,德國,作曲
"Kuula, Toivo",庫拉,1883-1918,芬蘭,作曲；指揮
"Kuyper, Elisabeth",克伊珀,1877-1953,荷蘭,作曲
"Kvapil, Jaroslav",克瓦皮爾,1892-1958,捷克,作曲；指揮
"Kv?ch, Otomar",克維奇,1950-,捷克,作曲
"Kyburz, Hanspeter",基布茲,1960-,瑞士,作曲
"La Berge, Anne",拉貝吉,1955-,美國,作曲
"La Cour, Niels",拉庫爾,1944-,丹麥,作曲
"La Forge, Frank",拉霍爾吉,1879-1953,美國,鋼琴；作曲
"La Montaine, John",拉蒙恬內,1920-,美國,作曲
"Lablache, Luigi",拉布拉凱,1794-1858,義大利,聲樂
"Labroca, Mario",拉布洛卡,1896-1973,義大利,作曲；著作
"Labunski, Felix","拉本斯基,菲利克斯",1892-1979,美國,作曲；著作
"Labunski, Wiktor","拉本斯基,維克多",1895-1974,美國,鋼琴；作曲
"Lacaze, Sophie",拉卡芝,1963-,法國,作曲
"Lacerda, Francisco de",拉撤達,1869-1934,葡萄牙,作曲
"Lachenmann, Helmut",拉亨曼,1935-,德國,作曲
"Lachert, Piotr de Peslin",拉赫特,1938-,波蘭,作曲
"Lachner, Franz Paul",拉赫納,1803-1890,德國,作曲；指揮
"Lacombe, Louis Trouillon","拉孔伯,路易",1818-1884,法國,作曲；鋼琴
"Lacombe, Paul","拉孔伯,保爾",1837-1927,法國,作曲
"Ladd, Andrew",拉德,1960-,英國,作曲
"Ladmirault, Paul",拉德米羅,1877-1944,法國,作曲
"LaFave, Kenneth",拉法弗,1951-,美國,作曲
"Lafont, Charles Philippe",拉馮,1781-1839,法國,小提琴；作曲
"Lail, Lorri",賴爾,1904-1978,挪威,聲樂
"Laitman, Lori",賴特曼,1955-,美國,作曲
"Lajtha, L?szl?",拉依塔,1892-1963,匈牙利,作曲；音樂學
"Lalande, Michel-Richard de",拉隆德,1657-1726,法國,作曲
"Lalo, ?douard",拉羅,1823-1892,法國,作曲
"Lambert, Alexander","隆貝爾,亞力山大",1862-1923,美國,鋼琴
"Lambert, Constant",藍伯特,1905-1951,英國,作曲；指揮；著作
"Lambert, Raymond ?douard","隆貝爾,雷蒙",1908-1966,比利時,鋼琴
"Lambertini, Marta",藍貝爾蒂妮,1937-,阿根廷,作曲
"Lamond, Frederic",拉蒙德,1868-1948,英國（蘇格蘭）,鋼琴
"Lamothe, Ludovic",拉莫特,1882-1953,海地,作曲
"Lamotte, Franz",拉摩特,1751-1781,荷蘭,小提琴；作曲
"Lamoureux, Charles","拉穆柔,夏勒",1834-1899,法國,指揮；小提琴
"Lamoureux, Jean Jacques","拉穆柔,尚",1946-,加拿大,作曲
"Lampugnani, Giovanni",藍普亞尼,1706-1786,義大利,作曲
"Lancen, Serge",隆桑,1922-2005,法國,鋼琴；作曲
"Lanchbery, John",藍其貝利,1923-2003,英國,指揮；作曲
"Lancino, Thierry",隆奇諾,1954-,法國,作曲
"Landi, Stefano",藍迪,1586-1639,義大利,作曲
"Landini, Francesco",藍迪尼,1325-1397,義大利,作曲
"Landowska, Wanda",藍朵芙絲卡,1879-1959,波蘭,大鍵琴
"Landowski, Marcel",隆朵夫斯基,1915-1999,法國,作曲
"Landr?, Guillaume",藍德瑞,1905-1968,荷蘭,作曲；著作
"Lang, David","藍格,大衛",1957-,美國,作曲
"Lang, Josephine","藍格,約瑟芬",1815-1880,德國,作曲
"Lang, Paul Henry","藍格,保羅",1901-1991,美國,音樂學
"Lange, Francisco Curt","藍格,弗朗西斯科",1903-1997,烏拉圭,音樂學
"Lange, Hans","藍格,漢斯",1884-1960,美國,小提琴；指揮
"Lange-M?ller, Peter Erasmus",藍格－繆勒,1850-1926,丹麥,作曲
"Langgaard, Rued Immanuel",藍加德,1893-1952,丹麥,作曲
"Langlais, Jean",隆格列,1907-1991,法國,管風琴；作曲
"Lanier, Nicholas",拉尼爾,1588-1666,英國,作曲
"Lankester, Michael",藍開斯特,1944-,英國,指揮
"Lanner, Joseph",藍納,1801-1843,奧地利,小提琴；作曲
"Lansky, Paul",藍斯基,1944-,美國,作曲
"Lanza, Alcides",藍撒,1929-,加拿大,作曲
"Lanzani, Giorgio",藍札尼,1948-,義大利,作曲
"Laparra, Raoul",拉帕拉,1876-1943,法國,作曲
"Laporte, Andr?",拉波爾特,1931-,比利時,作曲
"Lara, Isidore de",拉臘,1858-1935,英國,作曲；鋼琴
"Larchet, John Francis",拉其特,1884-1967,愛爾蘭,作曲
"Laredo, Jaime",拉雷多,1941-,美國,小提琴
"Large, Brain",拉吉,1937-,英國,音樂學
"LaRocca, Frank",拉羅卡,1951-,美國,作曲
"Larrocha, Alicia de",拉蘿佳,1923-2010,西班牙,鋼琴
"Larsen, Libby",拉爾森,1950-,瑞典,作曲
"Larsson, Lars-Erik",拉爾頌,1908-1986,瑞典,作曲
"Lasalle, Jean Louis",拉撒勒,1847-1909,法國,聲樂
"Lasernia, Blas de",拉賽爾尼亞,1751-1816,西班牙,作曲
"Lassen, Eduard",拉森,1830-1904,丹麥,作曲；指揮
"Lassus, Roland de(Lasso, Orlando di)",拉序斯(拉索),1532-1594,法國,作曲
Lassus. Orlando di,拉索,1532-1594,比利時,作曲
"L?szl?, Magda",拉姿洛,1919-2002,匈牙利,聲樂
"Lauber, Joseph",勞伯,1864-1952,瑞士,作曲
"Laurenti, Girolamo Bartolomeo",勞倫悌,1644-1726,義大利,作曲；小提琴
"Lauri-Volpi, Giacomo",勞利－佛爾比,1892-1979,義大利,聲樂
"Lauridsen, Morten",勞利德森,1943-,美國,作曲
"Lauro, Antonio",勞羅,1917-1986,委內瑞拉,作曲；吉他
"Lavall?e, Calixa",拉華列,1842-1891,加拿大,作曲；鋼琴
"Lawes, William",勞斯,1602-1645,英國,作曲
"Lawrence, Marjorie",勞倫絲,1909-1979,澳大利亞,聲樂
"Lazareno, Manuel",拉撒雷諾,1909-,西班牙,作曲
"Lazarof, Henri",拉札羅夫,1932-,美國,作曲
"Lazzari, Sylvio",拉札利,1857-1944,法國,作曲
"Le Couppey, F?lix",勒庫佩伊,1811-1887,法國,鋼琴；作曲
"Le Flem, Paul",勒弗雷姆,1881-1984,法國,作曲
"Le Fleming, Christopher",雷弗雷明,1908-1985,英國,作曲
"Le Gallienne, Dorian",雷高連,1915-1963,澳大利亞,作曲
"Le Jeune, Claude",勒哲內,1528-1600,法國,作曲
"Le Sueur, Jean-Fran?ois",勒休厄,1760-1837,法國,作曲；音樂著作
"Lear, Evelyn",莉兒,1928-,美國,聲樂
"Leavins, Arthur",李文斯,1917-1995,英國,小提琴
"Lebrun, Parl Henri Joseph",勒伯冉,1861-1920,比利時,作曲
"Lechner, Leonhard",雷赫納,1553-1606,奧地利,作曲
"Leclair, Jean-Marie",勒克雷爾,1697-1764,法國,作曲；小提琴
"Lecocq, Charles",勒科克,1832-1918,法國,作曲
"Lecuna, Juan Vicente",雷固納,1899-1954,委內瑞拉,作曲
"Lecuona, Ernesto",雷果納,1896-1963,古巴,鋼琴；作曲
"Ledger, Philip",賴吉爾,1937-,英國,管風琴；指揮；鋼琴
"Lee, Sebastian","李,瑟巴斯提安",1805-1887,德國,作曲；大提琴
"Lees, Benjamin",李斯,1924-,美國,作曲
"Leeuw, Reinbert de","萊烏,萊恩伯特",1938-,荷蘭,作曲
"Leeuw, Ton de","萊烏,唐",1926-1996,荷蘭,作曲
"Leeuw, Ton de",列烏,1926-1996,荷蘭,作曲
"Lefanu, Nicola",雷法奴,1947-,英國,作曲
"Lef?bure, Yvonne",勒菲比爾,1898-1986,法國,鋼琴
"Lef?bure- W?ly, Louis James Alfred",勒菲比爾－威利,1817-1870,法國,作曲；管風琴
"Lefebvre, Charles ?douard",勒菲弗爾,1843-1917,法國,作曲
"Legge, Walter","雷格,華爾特",1906-1979,英國,音樂出版著作
"Legley, Victor",勒格列,1915-1994,比利時,作曲
"Legrand, Michel",勒格隆,1932-,法國,作曲
"Legrenzi, Giovanni",雷格倫濟,1626-1690,義大利,作曲
"Leh?r, Franz",雷哈爾,1870-1948,匈牙利,作曲
"Lehmann, Lilli","雷曼,莉莉",1848-1929,德國,聲樂
"Lehmann, Liza","雷曼,莉莎",1862-1918,英國,作曲；聲樂
"Lehmann, Lotte","雷曼,洛特",1888-1976,德國,聲樂
"Lehrman, Leonard",雷爾曼,1949-,美國,作曲
"Leibowitz, Ren?",萊伯維茲,1913-1972,法國,作曲；指揮；音樂學
"Leichtentritt, Hugo",萊希田特利特,1874-1951,德國,作曲
"Leider, Frida",萊德,1888-1975,德國,聲樂
"Leifs, J?n",萊弗斯,1899-1968,冰島,作曲
"Leigh, Mitch","雷,米區",1928-,美國,作曲
"Leigh, Walter","雷,華爾特",1905-1942,英國,作曲
"Leigh-Sharpe, William Harold",雷－夏普,1881-1950,英國,作曲
"Leighton, Kenneth",雷頓,1929-1988,英國,作曲
"Leinsdorf, Erich",萊因斯朵夫,1912-1993,美國,指揮
"Leisner, David",萊斯納,1953-,美國,作曲；吉他
"Leitner, Ferdinand",萊特納,1912-1996,德國,指揮家
"Lekeu, Guillaume",勒克,1870-1894,比利時,作曲
"Lely, Durward",雷利,1857-1944,英國,聲樂
"Lemare, Edwin",雷梅爾,1865-1934,英國,管風琴；作曲
"Lemba, Arthur",雷姆巴,1885-1963,愛沙尼亞,作曲
"Lemire, Jean-Baptiste",勒密爾,1867-1945,法國,作曲
"Lemmens, Jacques Nicolas",連蒙斯,1823-1881,比利時,管風琴；作曲
"Lemmens-Sherrington, Hellen",連蒙斯－薛琳頓,1834-1906,英國,聲樂
"Lemnitz, Tiana",雷姆尼次,1897-1994,德國,聲樂
"Lentz, Georges","連次,喬治",1965-,盧森堡,作曲
"Lentz, Johan Nicolaas","連次,約翰",1720-1782,德國,作曲
"Lenya, Lotte",連雅,1898-1981,美國,聲樂；演員
"Lenz, Wilhelm von",連茲,1809-1883,俄國,音樂著作
"Leo, Leonardo",雷歐,1694-1744,義大利,作曲
"Leonard, Hubert",雷歐納,1819-1890,比利時,小提琴；作曲
"Leonard, Lawrence",雷歐納德,1923-2001,英國,指揮
"Leoncavallo, Ruggero",雷昂卡發洛,1857-1919,義大利,作曲
"Leonhardt, Gustav",雷昂哈特,1928-,荷蘭,大鍵琴；管風琴
"Leoni, Franco",雷歐尼,1864-1949,義大利,作曲
L?onin(Leoninus),雷歐南,ca.1135-ca.1201,法國,作曲
"Leppard, Raymond",雷帕德,1927-,英國,指揮
"Lerich, Pierre",勒利許,1937-,法國,作曲
"Leroux, Xavier",勒如,1863-1919,法國,作曲
"Lescazes, Emmanuel de",雷卡茲,1847-1931,法國,作曲
"Leschetizky, Theodor",雷協悌茲基,1830-1915,波蘭,鋼琴；鋼琴教育；作曲
"Leslie, Henry David",雷斯利,1822-1896,英國,指揮；作曲
"Lessel, Franciszek",雷瑟爾,1780-1838,波蘭,作曲
"Lesueur, Jean-Fran?ois",勒序厄,1760-1837,法國,作曲
"Lesure, Fran?ois",勒序爾,1923-2001,法國,音樂學
"Levant, Oscar",雷文特,1906-1972,美國,鋼琴；作曲
"Levering, Arthur",雷文林,1953-,美國,作曲
"Levi, Hermann","雷維,赫爾曼",1839-1900,德國,指揮
"Levien, John Mewburn",雷汶,1863-1953,英國,聲樂
"Levine, James",雷萬,1943-,美國,指揮
"Levkovich, Alexander","雷科維奇,亞力山大",1952-,俄國,作曲
"Levy, Marvin David","雷維,馬文",1932-,美國,作曲；著作
"Lewandowski, Louis (Lazarus)",雷萬多斯基,1821-1894,波蘭,作曲
"Lewenthal, Raymond",路文索,1926-1988,美國,鋼琴
"Lewis, Anthony","路易斯,安東尼",1915-1983,英國,指揮；作曲；音樂學
"Lewis, David","路易斯,大衛",1961-,美國,作曲
"Lewis, Henry","路易斯,亨利",1932-,美國,指揮
"Lewis, Jeffrey","路易斯,傑弗利",1942-,英國,作曲；管風琴
"Lewis, Mary","路易斯,瑪麗",1900-1941,美國,聲樂
"Lewis, Peter Scott","路易斯,彼得",1953-,美國,作曲
"Lewis, Richard","路易斯,理查",1914-1990,英國,聲樂
"Lewkovitch, Bernhard","雷科維奇,伯納德",1927-,丹麥,作曲
"Ley, Alain de",雷伊,1961-,比利時,作曲
"Ley, Henry",雷伊,1887-1962,英國,管風琴；作曲
"Leygraf, Hans",雷格拉夫,1920-,瑞典,鋼琴；作曲
"Lhevinne, Josef","勒溫,約瑟夫",1874-1944,俄國,鋼琴；鋼琴教育
"Lhevinne, Rosina","勒溫,羅西娜",1880-1976,俄國,鋼琴；鋼琴教育
"Liadov, Anatoli","李亞朵夫,阿納托利",1855-1914,俄國,作曲
"Liadov, Konstantin","李亞朵夫,康斯坦丁",1820-1868,俄國,指揮
"Liapunov, Serge",李亞普諾夫,1859-1924,俄國,作曲；鋼琴；指揮
"Liardet, Jean-Paul",李亞爾德,1939-,瑞士,作曲
"Lias, Stephen",李亞斯,1966-,美國,作曲
"Libeling, Emil","李布林,艾彌爾",1951-1914,美國,鋼琴
"Libeling, Georg","李布林,蓋沃格",1865-1946,德國,鋼琴；作曲
"Libeling, Leonard","李布林,雷歐納德",1880-1945,美國,鋼琴；樂評
"Licette, Miriam",賴瑟特,1892-1969,英國,聲樂
"Lichner, Heinrich R.",李希納,1829-1898,波蘭,作曲
"Lidholm, Ingvar",李德霍姆,1921-,瑞典,作曲
"Lie, Sigurd",利艾,1871-1904,挪威,作曲
"Liebermann, Lowell","李伯曼,羅維爾",1961-,美國,作曲
"Liebermann, Rolf","李伯曼,羅夫",1910-1999,瑞士,作曲
"Lieberson, Peter",李伯森,1946-,美國,作曲
"Lier, Bertus van","李爾,伯杜斯",1906-1972,荷蘭,作曲
"Lierhammer, Theodor",李爾漢莫,1866-1937,奧地利,聲樂
"Lieurance, Thurlow",劉朗斯,1878-1963,美國,音樂理論
"Ligendza, Caterina",李根札,1937-,瑞典,聲樂
"Ligeti, Gy?rgy",李蓋悌,1923-2006,匈牙利,作曲
"Lilburn, Douglas Gordon",李爾本,1915-2001,紐西蘭,作曲
"Lill, John","李爾,約翰",1944-,英國,鋼琴
"Lincke, Paul",林克,1866-1946,德國,作曲
"Lindberg, Magnus","林貝爾格,馬格努斯",1958-,芬蘭,作曲
"Lindberg, Oskar","林貝爾格,奧斯卡",1887-1955,瑞典,作曲
"Lindblad, Adolf Fredrik",林布雷德,1809-1864,瑞典,作曲
"Linde, Hans-Martin",林德,1930-,德國,作曲
"Lindley, Robert",林德利,1777-1855,英國,大提琴
"Lindpaintner, Peter Joseph von",林德帕因特納,1791-1856,德國,作曲
"Linley, Thomas (i)","林利,湯瑪斯一世",1733-1795,英國,作曲
"Linley, Thomas (ii)","林利,湯瑪斯二世",1756-1778,英國,作曲
"Lipatti, Dinu",李帕悌,1917-1950,羅馬尼亞,鋼琴；作曲
"Lipinski, Carl Joseph",李平斯基,1790-1861,波蘭,小提琴
"Lipkin, Malcolm",李普金,1932-,英國,作曲；鋼琴
"Lipp, Wilma",利普,1925-,奧地利,聲樂
"Liszt, Franz(Ferenc)",李斯特,1811-1886,匈牙利,鋼琴；作曲
"Litaize, Gaston",李泰茲,1909-1991,法國,管風琴；作曲
"Litolff, Henry Charles",李托夫,1818-1891,法國,鋼琴；作曲
"Liviabella, Lino",李維亞貝拉,1902-1964,義大利,作曲
"Llewellyn, Ernest Victor","列威林,恩斯特",1915-1982,澳大利亞,小提琴
"Llewellyn, William","列威林,威廉",1925-,英國,指揮；作曲
"Llobet, Miguel",尤貝特,1878-1938,西班牙,吉他；作曲
"Lloyd Webber, Andrew",洛伊德˙韋伯,1948-,英國,作曲
"Lloyd, Charles","洛伊德,查理",1849-1919,英國,管風琴；作曲
"Lloyd, Edward","洛伊德,愛德華",1845-1927,英國,聲樂
"Lloyd, George","洛伊德,喬治",1913-1998,英國,作曲；小提琴
"Lloyd, Richard","洛伊德,理查",1933-,英國,管風琴；作曲
"Lobe, Johann Christian",洛伯,1797-1881,德國,作曲；長笛
"Lobo, Alonso",洛玻,1555-1617,西班牙,作曲
"L?bo, Duarte (Eduardus)",勒玻,1565-1646,葡萄牙,作曲
"Locatelli, Pietro Antonio",羅卡泰里,1695-1764,義大利,小提琴；作曲
"Locke, Matthew",洛克,1622-1677,英國,作曲
"Lockhart, James",洛克哈特,1930-,英國（蘇格蘭）,指揮
"Lockspeiser, Edward",洛克斯派瑟,1905-1973,英國,音樂學
"Lockwood, Normond",洛克伍德,1906-2002,美國,作曲
"Loder, Edward","洛德,愛德華",1813-1865,英國,作曲
"Loder, Kate",蘿德,1825-1904,英國,鋼琴
"Lodyzhensky, Nikolay Nikolayevitch",羅德金斯基,1843-1916,俄國,作曲
"Loeffler, Charles Martin",勒弗列,1861-1935,美國,作曲；小提琴
"Loeillet, Jacques","羅伊葉,雅各",1685-1748,比利時,作曲；單簧管
"Loeillet, Jean-Baptiste","羅伊葉,尚－巴替斯特",1680-1730,比利時,作曲；長笛
"Loesser, Frank",羅伊瑟,1910-1969,美國,作曲
"Loevendie, Theo",雷文第,1930-,荷蘭,作曲
"Loewe, Carl","勒韋,卡爾",1796-1869,德國,作曲；聲樂
"Loewe, Ferdinand","勒韋,費迪南",1865-1925,奧地利,指揮
"Loewe, Johann Jacob","勒韋,約翰",1628-1703,德國,作曲
"Logothetis, Anestis",羅果泰提斯,1921-1994,奧地利,作曲
"L?hr, Hermann",勒爾,1871-1943,英國,作曲
"L?hse, Otto",勒澤,1858-1925,德國,指揮；作曲
"Lokshin, Alexander Lazarevich",羅克辛,1920-1987,俄國,作曲
"Lolli, Antonio",羅利,1725-1802,義大利,小提琴；作曲
"London, George",倫敦,1920-1985,美國,聲樂
"Long, Marguerite",隆,1874-1966,法國,鋼琴
"Longo, Alexandro",隆戈,1864-1945,義大利,鋼琴；作曲
"Loomis, Harvey Worthington",陸米斯,1865-1930,美國,作曲
"Lopatnikoff, Nicolai",羅帕尼科夫,1903-1976,美國,作曲
"Lopes-Gra?a, Fernando",羅培斯－葛拉薩,1906-1994,葡萄牙,作曲；鋼琴；音樂學
"L?pez Buchardo, Carlos",洛培斯‧布查爾多,1881-1948,阿根廷,作曲
"L?pez de la Rosa, Horacio",洛培斯‧德‧拉‧羅撒,1933-1986,阿根廷,作曲
"Lord, David","洛德,大衛",1944-,英國,作曲；指揮
"Lorengar, Pilar",羅蓮佳爾,1928-1996,西班牙,聲樂
"Lorenz, Max",羅連茲,1901-1975,德國,聲樂
"Lorenzani, Paolo",羅連贊尼,1640-1713,義大利,作曲
"Lorenzo Fern?ndez, Oscar",羅連佐‧費南德斯,1897-1948,巴西,作曲
"Loret, Cl?ment",羅列,1833-1909,比利時,作曲
"Loriod, Yvonne",羅莉歐,1924-,法國,鋼琴
"Lortzing, Gustav Albert",羅爾慶,1801-1851,德國,作曲
"Los ?ngeles, Victoria de",羅斯‧安赫莉絲,1923-2005,西班牙,聲樂
"Loschhorn, Albert",呂希洪,1819-1905,德國,鋼琴；作曲
"Lothar, Mark",羅塔爾,1902-1985,德國,作曲
"Lott, Felicity",洛特,1947-,英國,作曲
"Lotti, Antonio",洛悌,1667-1740,義大利,作曲
"Lou?l, Jean",盧耶爾,1914-2005,比利時,作曲
"Loughran, James",洛格倫,1931-,英國（蘇格蘭）,指揮
"Louri?, Arthur Vincent",盧里耶,1892-1966,美國,作曲
"Loveday, Alan",拉甫得,1928-,美國,小提琴
"Loveridge, Iris",拉甫瑞基,1917-2000,英國,鋼琴
"Lowe, Claude Egerton",羅威,1860-1947,英國,鋼琴；小提琴
"Lualdi, Adriano",盧阿第,1885-1971,義大利,作曲；樂評
"L?beck, Vincent",呂貝克,1654-1740,德國,作曲
"Luboshutz, Lea",路玻舒茲,1885-1965,美國,小提琴
"Luca, Giuseppe de",陸卡,1876-1950,義大利,聲樂
"Lucas, Clarence","路卡斯,克拉倫斯",1866-1947,加拿大,作曲；指揮
"Lucas, Leighton","路卡斯,雷頓",1903-1982,英國,指揮；作曲
"Lucca, Pauline",路卡,1841-1908,奧地利,聲樂
"Lucchinetti, Giovanni Bernardo",路基內第,1730-1801,義大利,作曲
"Lucier, Alvin",盧西爾,1931-,美國,作曲
"Luck?, Step?n",路基,1919-,斯洛伐克,作曲
"Ludford, Nicholas",路德福特,1485-1557,英國,作曲
"Ludwig, Christa","路德維希,克麗絲塔",1928-,德國,聲樂
"Ludwig, Friedrich","路德維希,弗里德利希",1872-1930,德國,音樂學
"Ludwig, Leopold","路德維希,雷歐波德",1908-1979,奧地利,指揮
"Ludwig, William",路德威,1847-1924,愛爾蘭,聲樂
"Luengen, Ramona",倫珍,1960-,加拿大,作曲
"Luening, Otto",倫寧,1900-1996,美國,作曲；指揮
"Luigini, Alexandre",路易吉尼,1850-1906,法國,指揮；作曲
"Lukaszewski, Pawel",路卡斯澤夫斯基,1968-,波蘭,作曲
"Lully, Jean-Baptiste (Lulli, Giovanni Battista)",盧利,1632-1687,法國,作曲；小提琴
"Lumbye, Hans Christian",隆比,1810-1874,丹麥,指揮；作曲
"Lumsdaine, David",隆斯甸,1931-,澳大利亞,作曲
"Lupu, Radu",路普,1945-,羅馬尼亞,鋼琴
